,
,
,
1-1-A,41
1-1-B,45
1-1-C,396
1-1-D,53
1-1-E,54
1-1-F,43
,
1-9-A,72
1-9-B,66
1-9-C,237
1-9-D,119
1-9-E,240
1-9-F,656
,
1-17-A,217
1-17-B,215
1-17-C,726
1-17-D,58
1-17-E,149
1-17-F,168
,
2-3-A,155
2-3-B,224
2-3-C,181
2-3-D,223
2-3-E,422
2-3-F,44
,
2-11-A,474
2-11-B,334
2-11-C,485
2-11-D,435
2-11-E,531
2-11-F,360
,
2-19-A,98
2-19-B,86
2-19-C,177
2-19-D,183
2-19-E,150
2-19-F,80
,
3-59-A,133
3-59-B,116
3-59-C,611
3-59-D,273
3-59-E,662
3-59-F,160
,
4-67-A,318
4-67-B,614
4-67-C,342
4-67-D,347
4-67-E,341
4-67-F,349
,
4-71-A,736
4-71-B,742
4-71-C,576
4-71-D,194
4-71-E,402
4-71-F,732
,
4-79-A,132
4-79-B,258
4-79-C,302
4-79-D,303
4-79-E,84
4-79-F,449
,
4-87-A,819
4-87-B,542
4-87-C,540
4-87-D,539
4-87-E,607
4-87-F,728
,
5-131-A,111
5-131-B,178
5-131-C,387
5-131-D,176
5-131-E,348
5-131-F,615
,
5-143-A,466
5-143-B,465
,
7-65-A,431
7-65-B,487
7-65-C,521
7-65-D,561
7-65-E,82
7-65-F,70
,
7-69-A,385
7-69-B,315
7-69-C,394
7-69-D,675
7-69-E,783
7-69-F,782
,
7-73-A,787
7-73-B,808
7-73-C,453
7-73-D,844
7-73-E,517
7-73-F,489
,
7-77-A,51
7-77-B,114
7-77-C,603
7-77-D,226
7-77-E,748
7-77-F,753
,
,
,
,
1-21-A,101
1-21-B,298
1-21-C,60
1-21-D,83
1-21-E,63
1-21-F,289
,
1-25-A,96
1-25-B,129
1-25-C,433
1-25-D,242
1-25-E,841
1-25-F,636
,
1-31-A,309
1-31-B,876
1-31-C,264
1-31-D,338
1-31-E,203
1-31-F,173
,
2-23-A,366
2-23-B,284
2-23-C,128
2-23-D,211
2-23-E,312
2-23-F,399
,
2-27-A,212
2-27-B,538
2-27-C,218
2-27-D,467
2-27-E,196
2-27-F,335
,
2-33-A,88
2-33-B,205
2-33-C,99
2-33-D,658
2-33-E,109
2-33-F,731
,
3-133-A,813
3-133-B,859
3-133-C,118
3-133-D,234
3-133-E,877
3-133-F,880
,
4-91-A,383
4-91-B,384
4-91-C,484
4-91-D,446
4-91-E,752
4-91-F,532
,
4-95-A,151
4-95-B,165
4-95-C,362
4-95-D,699
4-95-E,479
4-95-F,593
,
4-103-A,243
4-103-B,225
4-103-C,835
4-103-D,107
4-103-E,221
4-103-F,358
,
4-111-A,330
4-111-B,506
4-111-C,333
4-111-D,344
4-111-E,716
4-111-F,717
,
5-139-A,527
5-139-B,568
5-139-C,357
5-139-D,404
5-139-E,763
5-139-F,545
,
,
,
,
7-85-A,458
7-85-B,460
7-85-C,459
7-85-D,200
7-85-E,686
7-85-F,239
,
7-93-A,585
7-93-B,574
7-93-C,572
7-93-D,805
7-93-E,806
7-93-F,762
,
7-109-A,583
7-109-B,195
7-109-C,68
7-109-D,153
7-109-E,95
7-109-F,549
,
7-117-A,97
7-117-B,612
7-117-C,293
7-117-D,447
7-117-E,456
7-117-F,498
,
,
,
1-39-A,156
1-39-B,154
1-39-C,108
1-39-D,238
1-39-E,382
1-39-F,423
,
1-29-A,824
1-29-B,846
,
,
,
,
,
,
,
,
,
,
,
,
2-41-A,55
2-41-B,105
2-41-C,363
2-41-D,776
2-41-E,158
2-41-F,551
